,BOROUGH_GROUP,COVID_CASE_COUNT,COVID_CASE_RATE
0,The Bronx,14941,1012.75
1,Brooklyn,20235,745.61
2,Manhattan,10254,546.08
3,Queens,24809,995.78
4,Staten Island,4325,854.68
5,Citywide,74601,
