,BOROUGH_GROUP,COVID_CASE_COUNT,COVID_CASE_RATE
0,The Bronx,16419,1114.61
1,Brooklyn,21580,795.32
2,Manhattan,10862,577.99
3,Queens,26204,1050.57
4,Staten Island,5102,1011.3
5,Citywide,80204,
